phase,age_group,var_name,count,mean,std,min,0.250000000 ,0.500000000 ,0.750000000 ,max
phase1,00_17,alpha,263,0.006660305 ,0.018029939 ,0.000000000 ,0.000128438 ,0.000273038 ,0.002022526 ,0.112359551 
phase1,00_17,lambda,264,0.000091900 ,0.000111814 ,0.000010500 ,0.000030600 ,0.000042200 ,0.000124463 ,0.000498761 
phase1,00_17,mu,264,0.000345670 ,0.001571313 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,0.018181818 
phase1,00_17,p,0,,,,,,,
phase1,18_64,alpha,263,0.008829569 ,0.023764783 ,0.000067300 ,0.000401419 ,0.000696462 ,0.001890405 ,0.126645421 
phase1,18_64,lambda,264,0.000112000 ,0.000112762 ,0.000010600 ,0.000030900 ,0.000042600 ,0.000125519 ,0.000502995 
phase1,18_64,mu,264,0.002386532 ,0.007767216 ,0.000000000 ,0.000066200 ,0.000317001 ,0.000718938 ,0.090909091 
phase1,18_64,p,0,,,,,,,
phase1,65_84,alpha,263,0.062956396 ,0.105757533 ,0.001205027 ,0.007810280 ,0.013496905 ,0.051906956 ,0.423508137 
phase1,65_84,lambda,264,0.000067900 ,0.000113721 ,0.000010700 ,0.000031200 ,0.000043000 ,0.000126585 ,0.000507264 
phase1,65_84,mu,264,0.013831369 ,0.064112407 ,0.000000000 ,0.000392979 ,0.002145833 ,0.004579462 ,0.972222222 
phase1,65_84,p,0,,,,,,,
phase1,85_,alpha,263,0.043593342 ,0.086058679 ,0.000105352 ,0.002687820 ,0.010465116 ,0.019027411 ,0.375968992 
phase1,85_,lambda,264,0.000184000 ,0.000114686 ,0.000010800 ,0.000031400 ,0.000043300 ,0.000127659 ,0.000511570 
phase1,85_,mu,264,0.020404744 ,0.080544426 ,-0.588235294 ,0.000881074 ,0.005096497 ,0.012736320 ,0.973684211 
phase1,85_,p,0,,,,,,,
phase2,00_17,alpha,160,0.000049800 ,0.000043300 ,0.000001800 ,0.000013000 ,0.000032900 ,0.000088600 ,0.000152780 
phase2,00_17,lambda,160,0.000224000 ,0.000307954 ,0.000058000 ,0.000063700 ,0.000116422 ,0.000534101 ,0.001202182 
phase2,00_17,mu,160,0.000040400 ,0.000116151 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000659413 
phase2,00_17,p,160,0.000011400 ,0.000014900 ,0.000000000 ,0.000001060 ,0.000004950 ,0.000017000 ,0.000075500 
phase2,18_64,alpha,160,0.000283646 ,0.000284363 ,0.000014000 ,0.000034600 ,0.000149781 ,0.000517590 ,0.000915411 
phase2,18_64,lambda,160,0.000307000 ,0.000278584 ,0.000052500 ,0.000057600 ,0.000105318 ,0.000483159 ,0.001087518 
phase2,18_64,mu,160,0.000443840 ,0.000456352 ,0.000000000 ,0.000032900 ,0.000263364 ,0.000770420 ,0.001656874 
phase2,18_64,p,160,0.004960411 ,0.004669979 ,0.000005800 ,0.002040838 ,0.003461995 ,0.006629486 ,0.029163702 
phase2,65_84,alpha,160,0.003912005 ,0.004165112 ,0.000065900 ,0.000320510 ,0.001544020 ,0.008373229 ,0.012608900 
phase2,65_84,lambda,160,0.000137000 ,0.000252011 ,0.000047500 ,0.000052100 ,0.000095300 ,0.000437075 ,0.000983790 
phase2,65_84,mu,160,0.002218617 ,0.002322247 ,0.000000000 ,0.000110381 ,0.001021782 ,0.004114480 ,0.007392702 
phase2,65_84,p,160,0.020532214 ,0.025182897 ,0.000004080 ,0.002854315 ,0.007038418 ,0.032828167 ,0.115900723 
phase2,85_,alpha,160,0.006969823 ,0.007430005 ,0.000081100 ,0.000544257 ,0.002861769 ,0.014737522 ,0.022083913 
phase2,85_,lambda,160,0.000306000 ,0.000227973 ,0.000043000 ,0.000047200 ,0.000086200 ,0.000395387 ,0.000889956 
phase2,85_,mu,160,0.005651035 ,0.005944184 ,0.000030000 ,0.000242812 ,0.002644948 ,0.010530049 ,0.018285081 
phase2,85_,p,160,0.020192769 ,0.030527212 ,0.000022500 ,0.001800568 ,0.006213236 ,0.025850064 ,0.163833466 
phase3,00_17,alpha,194,0.000028700 ,0.000013700 ,0.000003530 ,0.000019000 ,0.000026000 ,0.000037000 ,0.000071700 
phase3,00_17,lambda,194,0.000865600 ,0.000343595 ,0.000334028 ,0.000581525 ,0.000973607 ,0.001140591 ,0.001700434 
phase3,00_17,mu,194,0.000028500 ,0.000062800 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000345483 
phase3,00_17,p,194,0.000915423 ,0.001161456 ,0.000006340 ,0.000025200 ,0.000303633 ,0.001650042 ,0.003894873 
phase3,18_64,alpha,194,0.000078100 ,0.000034200 ,0.000016700 ,0.000060200 ,0.000073600 ,0.000102699 ,0.000166583 
phase3,18_64,lambda,194,0.000407600 ,0.000153545 ,0.000149269 ,0.000259869 ,0.000435082 ,0.000509703 ,0.000759884 
phase3,18_64,mu,194,0.000087200 ,0.000049000 ,0.000000000 ,0.000048200 ,0.000092500 ,0.000123305 ,0.000202263 
phase3,18_64,p,194,0.005163440 ,0.004959702 ,0.000713166 ,0.001650117 ,0.003159032 ,0.006973723 ,0.023810497 
phase3,65_84,alpha,194,0.000673157 ,0.000330210 ,0.000060300 ,0.000430891 ,0.000749741 ,0.000930140 ,0.001226750 
phase3,65_84,lambda,194,0.000147000 ,0.000068600 ,0.000066700 ,0.000116129 ,0.000194428 ,0.000227774 ,0.000339574 
phase3,65_84,mu,194,0.000318136 ,0.000193023 ,0.000009810 ,0.000100153 ,0.000368181 ,0.000462614 ,0.000724036 
phase3,65_84,p,194,0.001371552 ,0.001018011 ,0.000186221 ,0.000754801 ,0.001151193 ,0.001595994 ,0.009360461 
phase3,85_,alpha,194,0.001169327 ,0.000626395 ,0.000080900 ,0.000639383 ,0.001321037 ,0.001631733 ,0.002319880 
phase3,85_,lambda,194,0.000106000 ,0.000030700 ,0.000029800 ,0.000051900 ,0.000086900 ,0.000101787 ,0.000151748 
phase3,85_,mu,194,0.000589971 ,0.000361437 ,0.000000000 ,0.000236232 ,0.000658855 ,0.000888374 ,0.001268585 
phase3,85_,p,194,0.000595050 ,0.000367722 ,0.000050500 ,0.000339124 ,0.000547804 ,0.000780836 ,0.002038978 
phase4,00_17,alpha,265,0.000019400 ,0.000010800 ,0.000003600 ,0.000011300 ,0.000017300 ,0.000024800 ,0.000056300 
phase4,00_17,lambda,265,0.000854600 ,0.000870559 ,0.000186039 ,0.000311132 ,0.000442300 ,0.001455535 ,0.003691758 
phase4,00_17,mu,265,0.000016300 ,0.000034700 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000000000 ,0.000257202 
phase4,00_17,p,265,0.000649891 ,0.000515250 ,0.000008150 ,0.000255576 ,0.000522533 ,0.000876435 ,0.003257771 
phase4,18_64,alpha,265,0.000046400 ,0.000027800 ,0.000009750 ,0.000024800 ,0.000041400 ,0.000060100 ,0.000160383 
phase4,18_64,lambda,265,0.000778800 ,0.000656626 ,0.000140321 ,0.000234674 ,0.000333608 ,0.001097849 ,0.002784538 
phase4,18_64,mu,265,0.000072000 ,0.000043600 ,0.000007950 ,0.000038300 ,0.000060500 ,0.000101467 ,0.000189577 
phase4,18_64,p,265,0.000673221 ,0.000824951 ,0.000030800 ,0.000125377 ,0.000305266 ,0.000902707 ,0.003868993 
phase4,65_84,alpha,265,0.000586756 ,0.000284523 ,0.000146398 ,0.000355265 ,0.000548480 ,0.000746970 ,0.001574442 
phase4,65_84,lambda,265,0.000413000 ,0.000495265 ,0.000105839 ,0.000177005 ,0.000251627 ,0.000828061 ,0.002100260 
phase4,65_84,mu,265,0.000372551 ,0.000182927 ,0.000049400 ,0.000251054 ,0.000355094 ,0.000484687 ,0.000835433 
phase4,65_84,p,265,0.000526569 ,0.000728270 ,0.000015700 ,0.000165599 ,0.000253161 ,0.000406717 ,0.003724033 
phase4,85_,alpha,265,0.002205694 ,0.001109051 ,0.000509576 ,0.001278647 ,0.002048537 ,0.002933783 ,0.005230887 
phase4,85_,lambda,265,0.000479000 ,0.000373557 ,0.000079800 ,0.000133507 ,0.000189791 ,0.000624572 ,0.001584137 
phase4,85_,mu,265,0.000986182 ,0.000576221 ,0.000156454 ,0.000560748 ,0.000833545 ,0.001347160 ,0.002410566 
phase4,85_,p,265,0.000254826 ,0.000273106 ,0.000000000 ,0.000091900 ,0.000150348 ,0.000317781 ,0.001586386 
